"Submission ID","Last updated","Submission started","Status","Current step","Initials","Municipality","Photo name","Photo link","Number of substrates","Placement (1)","Substrate Notes (1)","This isn't really a sign (1)","What is is? (e.g. graffiti, infrastructure, memorial, sticker) (1)","Number of typefaces on this substrate (up to 8) (1)","Typeface Style (8)","Copy (8)","Lettering Ontology (9)","Message Function (13)","Covid related? (12)","Text notes? (12)","Text Notes (9)","Typeface Style (14)","Copy (12)","Lettering Ontology (8)","Message Function (8)","Covid related? (9)","Text notes? (15)","Text Notes (12)","Typeface Style (11)","Copy (11)","Lettering Ontology (15)","Message Function (12)","Covid related? (11)","Text notes? (11)","Text Notes (11)","Typeface Style (12)","Copy (10)","Lettering Ontology (12)","Message Function (11)","Covid related? (14)","Text notes? (8)","Text Notes (8)","Typeface Style (13)","Copy (14)","Lettering Ontology (10)","Message Function (10)","Covid related? (10)","Text notes? (13)","Text Notes (14)","Typeface Style (10)","Copy (9)","Lettering Ontology (13)","Message Function (14)","Covid related? (15)","Text notes? (10)","Text Notes (10)","Typeface Style (9)","Copy (15)","Lettering Ontology (14)","Message Function (9)","Covid related? (8)","Text notes? (14)","Text Notes (15)","Typeface Style (15)","Copy (13)","Lettering Ontology (11)","Message Function (15)","Covid related? (13)","Text notes? (9)","Text Notes (13)","Overall confidence in your selections (0 lowest / 5 highest) (1)","Explain your reasoning (1)","Any additional information? (1)","Placement (2)","Substrate Notes (2)","This isn't really a sign (2)","What is is? (e.g. graffiti, infrastructure, memorial, sticker) (2)","Number of typefaces on this substrate (up to 8) (2)","Typeface Style (18)","Copy (23)","Lettering Ontology (23)","Message Function (17)","Covid related? (23)","Text notes? (18)","Text Notes (19)","Typeface Style (16)","Copy (20)","Lettering Ontology (18)","Message Function (19)","Covid related? (21)","Text notes? (20)","Text Notes (22)","Typeface Style (22)","Copy (19)","Lettering Ontology (16)","Message Function (18)","Covid related? (22)","Text notes? (17)","Text Notes (20)","Typeface Style (19)","Copy (16)","Lettering Ontology (22)","Message Function (22)","Covid related? (20)","Text notes? (21)","Text Notes (21)","Typeface Style (20)","Copy (21)","Lettering Ontology (21)","Message Function (23)","Covid related? (19)","Text notes? (22)","Text Notes (17)","Typeface Style (23)","Copy (17)","Lettering Ontology (17)","Message Function (16)","Covid related? (17)","Text notes? (16)","Text Notes (18)","Typeface Style (17)","Copy (22)","Lettering Ontology (19)","Message Function (21)","Covid related? (18)","Text notes? (19)","Text Notes (23)","Typeface Style (21)","Copy (18)","Lettering Ontology (20)","Message Function (20)","Covid related? (16)","Text notes? (23)","Text Notes (16)","Overall confidence in your selections (0 lowest / 5 highest) (2)","Explain your reasoning (2)","Any additional information? (2)","Placement","Substrate Notes","This isn't really a sign","What is is? (e.g. graffiti, infrastructure, memorial, sticker)","Number of typefaces on this substrate (up to 8)","Typeface Style (3)","Copy (5)","Lettering Ontology (2)","Message Function (2)","Covid related? (1)","Text notes? (7)","Text Notes (2)","Typeface Style (1)","Copy (6)","Lettering Ontology (4)","Message Function (1)","Covid related?","Text notes? (2)","Text Notes (1)","Typeface Style (7)","Copy (7)","Lettering Ontology","Message Function (6)","Covid related? (2)","Text notes? (1)","Text Notes (5)","Typeface Style (5)","Copy","Lettering Ontology (6)","Message Function (7)","Covid related? (4)","Text notes? (6)","Text Notes (6)","Typeface Style","Copy (4)","Lettering Ontology (1)","Message Function (5)","Covid related? (3)","Text notes? (4)","Text Notes","Typeface Style (6)","Copy (1)","Lettering Ontology (3)","Message Function (4)","Covid related? (7)","Text notes? (5)","Text Notes (3)","Typeface Style (2)","Copy (3)","Lettering Ontology (5)","Message Function","Covid related? (6)","Text notes? (3)","Text Notes (4)","Typeface Style (4)","Copy (2)","Lettering Ontology (7)","Message Function (3)","Covid related? (5)","Text notes?","Text Notes (7)","Overall confidence in your selections (0 lowest / 5 highest)","Explain your reasoning","Any additional information?","Placement (3)","Substrate Notes (3)","This isn't really a sign (3)","What is is? (e.g. graffiti, infrastructure, memorial, sticker) (3)","Number of typefaces on this substrate (up to 8) (3)","Typeface Style (25)","Copy (26)","Lettering Ontology (26)","Message Function (28)","Covid related? (30)","Text notes? (26)","Text Notes (29)","Typeface Style (31)","Copy (30)","Lettering Ontology (29)","Message Function (30)","Covid related? (31)","Text notes? (31)","Text Notes (31)","Typeface Style (24)","Copy (24)","Lettering Ontology (30)","Message Function (26)","Covid related? (28)","Text notes? (29)","Text Notes (28)","Typeface Style (29)","Copy (28)","Lettering Ontology (25)","Message Function (29)","Covid related? (26)","Text notes? (28)","Text Notes (24)","Typeface Style (26)","Copy (31)","Lettering Ontology (27)","Message Function (27)","Covid related? (25)","Text notes? (30)","Text Notes (25)","Typeface Style (30)","Copy (25)","Lettering Ontology (28)","Message Function (24)","Covid related? (27)","Text notes? (25)","Text Notes (30)","Typeface Style (27)","Copy (27)","Lettering Ontology (24)","Message Function (31)","Covid related? (29)","Text notes? (27)","Text Notes (26)","Typeface Style (28)","Copy (29)","Lettering Ontology (31)","Message Function (25)","Covid related? (24)","Text notes? (24)","Text Notes (27)","Overall confidence in your selections (0 lowest / 5 highest) (3)","Explain your reasoning (3)","Any additional information? (3)","Errors","Url","Network ID"
"741068c0-1ec3-40da-85d4-573eab1d52e2","Thu Feb 20 2025 23:41:00 GMT-0800 (Pacific Standard Time)","Thu Feb 20 2025 23:37:00 GMT-0800 (Pacific Standard Time)","finished","Ending","AR"," Yorba Linda","YorbaLinda77.JPG","https://drive.google.com/file/d/1QLai_Svfc4BtOchqzJtJWlGDLUi7Hpj4/view?usp=sharing","4","Wall- placed","","false","","1","Quirky","4
8
9
3","Embossed (text out),House number","Address","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","5","","","Wall- placed","","false","","1","Quirky","4
8
9
1","Embossed (text out)","Address","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","5","","","Other-stuck","","false","","1","Sans Serif","PLEASE PICKUP
MAIL INSIDE","Printed,Handmade","Advisement / Regulation","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","5","","","Window-placed","","false","","2","Sans Serif","BUSINESS
HOURS:
Mon. [TYPEFACE 2] to [TYPEFACE 2]
Tues. [TYPEFACE 2] to [TYPEFACE 2]
Wed. [TYPEFACE 2] to [TYPEFACE 2]
Thur. [TYPEFACE 2] to [TYPEFACE 2]
Fri. [TYPEFACE 2] to [TYPEFACE 2]
Sat. [TYPEFACE 2] to [TYPEFACE 2]
Sun. [TYPEFACE 2] to ","Printed","Operational information","false","false","","Sans Serif","[TYPEFACE 1] 10:00 [TYPEFACE 1] 5:30
[TYPEFACE 1] 10:00 [TYPEFACE 1] 5:30
[TYPEFACE 1] 10:00 [TYPEFACE 1] 5:30
[TYPEFACE 1] 10:00 [TYPEFACE 1] 5:30
[TYPEFACE 1] 10:00 [TYPEFACE 1] 5:30
[TYPEFACE 1] 10:00 [TYPEFACE 1] 4:00
[TYPEFACE 1] CLOSED","Printed,Decal","Operational information","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","5","","","None","https://build.fillout.com/editor/saqW6LdH3Jus/results?sessionId=741068c0-1ec3-40da-85d4-573eab1d52e2","bf7d5bac876c468b49c239b7624ff7dd"
"e7f76d14-51af-42c6-9ae9-60181e2dc942","Thu Feb 20 2025 23:35:00 GMT-0800 (Pacific Standard Time)","Thu Feb 20 2025 23:35:00 GMT-0800 (Pacific Standard Time)","finished","Ending","AR"," Yorba Linda","YorbaLinda76.JPG","https://drive.google.com/file/d/1Osm9uAaHgmNlxoszb0-FULOlgsrNJU7T/view?usp=sharing","1","Window-placed","","false","","1","Sans Serif","**OPEN 
BY
APPOINTMENT

PLEASE CALL
714-621-1040
(Answered by Coastline Travel)**","Printed,Handmade","Operational information","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","5","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","None","https://build.fillout.com/editor/saqW6LdH3Jus/results?sessionId=e7f76d14-51af-42c6-9ae9-60181e2dc942","bf7d5bac876c468b49c239b7624ff7dd"
"70e1aa95-0060-46a3-9f51-7f6dd9f69440","Thu Feb 20 2025 23:34:00 GMT-0800 (Pacific Standard Time)","Thu Feb 20 2025 23:33:00 GMT-0800 (Pacific Standard Time)","finished","Ending","AR"," Yorba Linda","YorbaLinda75.JPG","https://drive.google.com/file/d/1CWDSYK71E3OuuTuU6aneykTj5jKp16CF/view?usp=sharing","1","Fascia","","false","","1","Serif","Yorba Linda
Travel","Pan-face","Identification","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","5","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","None","https://build.fillout.com/editor/saqW6LdH3Jus/results?sessionId=70e1aa95-0060-46a3-9f51-7f6dd9f69440","bf7d5bac876c468b49c239b7624ff7dd"
"b8f228cf-3930-420d-af50-d8e4a2951bfc","Thu Feb 20 2025 10:46:00 GMT-0800 (Pacific Standard Time)","Thu Feb 20 2025 10:43:00 GMT-0800 (Pacific Standard Time)","finished","Ending","HK"," Laguna Beach","LagunaBeach10.JPG","https://drive.google.com/file/d/1XYIuPszcJbr4h7JNF2dQcd-OPUA3J7Fv/view?usp=sharing","1","Wall-stuck","","false","","3","Slab Serif","ROLEX 
[typeface 2] 
[typeface 3]","Pan channel","Identification","false","false","","Script","[typeface 1] 
Fredric H. Rubel 
[typeface 3]","Pan channel","Identification","false","false","","Serif","[typeface 1] 
[typeface 2] 
*Fine Jewelers Since 1928*","Pan channel","Identification","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","5","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","None","https://build.fillout.com/editor/saqW6LdH3Jus/results?sessionId=b8f228cf-3930-420d-af50-d8e4a2951bfc","151a5b00b841b0a149d266855d57fa4a"
"7341639b-a4fe-4cd8-95f9-dbee490334d3","Thu Feb 20 2025 10:43:00 GMT-0800 (Pacific Standard Time)","Thu Feb 20 2025 10:42:00 GMT-0800 (Pacific Standard Time)","finished","Ending","HK"," Laguna Beach","LagunaBeach11.JPG","https://drive.google.com/file/d/1bZx62Y-qVJgVGkMZp7MzDIyvQtg6gNkY/view?usp=sharing","1","Window-stuck","","false","","1","Serif","SHOP 
LOCAL 
WE 
DELIVER","Printed","Advertisement","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","3","not sure what the message function is, i need another opinion","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","None","https://build.fillout.com/editor/saqW6LdH3Jus/results?sessionId=7341639b-a4fe-4cd8-95f9-dbee490334d3","151a5b00b841b0a149d266855d57fa4a"
"f2c37b8d-0d39-4123-a6be-574c16d0341e","Thu Feb 20 2025 10:41:00 GMT-0800 (Pacific Standard Time)","Thu Feb 20 2025 10:40:00 GMT-0800 (Pacific Standard Time)","finished","Ending","HK"," Laguna Beach","LagunaBeach12.JPG","https://drive.google.com/file/d/1kcj22TnJefqs6kqAP37eQFlRvDBb7f9U/view?usp=sharing","1","Hanging","","false","","2","Stylized","Bushard's [typeface 2]","Painted,Embossed (text out)","Identification","false","false","","Sans Serif","[typeface 1] PHARMACY","Painted,Embossed (text out)","Identification","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","5","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","None","https://build.fillout.com/editor/saqW6LdH3Jus/results?sessionId=f2c37b8d-0d39-4123-a6be-574c16d0341e","151a5b00b841b0a149d266855d57fa4a"
"0930ba49-7a44-4fc8-bbdc-c0e92ab23966","Thu Feb 20 2025 10:40:00 GMT-0800 (Pacific Standard Time)","Thu Feb 20 2025 10:39:00 GMT-0800 (Pacific Standard Time)","finished","Ending","HK"," Laguna Beach","LagunaBeach13.JPG","https://drive.google.com/file/d/1VVzB9aqbo8OIvtar9vd4oqBhrEY2FGbN/view?usp=sharing","1","Hanging","","false","","1","Serif","PUBLIC 
RESTROOMS","Painted,Embossed (text out)","Wayfinding","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","5","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","None","https://build.fillout.com/editor/saqW6LdH3Jus/results?sessionId=0930ba49-7a44-4fc8-bbdc-c0e92ab23966","151a5b00b841b0a149d266855d57fa4a"
"dae2e992-5869-4e7d-a1e5-899c838ba0ce","Thu Feb 20 2025 10:38:00 GMT-0800 (Pacific Standard Time)","Thu Feb 20 2025 10:33:00 GMT-0800 (Pacific Standard Time)","finished","Ending","HK"," Laguna Beach","LagunaBeach14.JPG","https://drive.google.com/file/d/1uxFy9hIGh5Memi7UrrjfsxyyA4bdoXqX/view?usp=sharing","1","Fascia","","false","","2","Quirky,Script","fresh produce 
[typeface 2]","Pan channel","Identification","false","false","","Sans Serif","[typeface 1] 
*fresh fun clothes*","Pan channel","Identification","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","5","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","None","https://build.fillout.com/editor/saqW6LdH3Jus/results?sessionId=dae2e992-5869-4e7d-a1e5-899c838ba0ce","151a5b00b841b0a149d266855d57fa4a"
"ad3e5c06-23dd-43d1-b481-005176fff212","Thu Feb 20 2025 10:31:00 GMT-0800 (Pacific Standard Time)","Thu Feb 20 2025 10:29:00 GMT-0800 (Pacific Standard Time)","finished","Ending","HK"," Laguna Beach","LagunaBeach15.JPG","https://drive.google.com/file/d/1EeFeKrPpmRhK3VlssPIDYc77k__nzcv1/view?usp=sharing","1","Window-placed","","false","","2","Script","fresh produce 
[typeface 2]","Handmade,Chalk","Generic Information","false","false","","Sans Serif","[typeface 1] 
*OPEN* 
__SUN-WED__ 10{AM}-6{PM} 
__THURS-SAT__ 10{AM}-7{PM}","Handmade,Chalk","Operational information","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","5","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","None","https://build.fillout.com/editor/saqW6LdH3Jus/results?sessionId=ad3e5c06-23dd-43d1-b481-005176fff212","151a5b00b841b0a149d266855d57fa4a"
"bbd05c5f-c144-47a2-8ec8-1c714a55c0d9","Thu Feb 20 2025 10:27:00 GMT-0800 (Pacific Standard Time)","Thu Feb 20 2025 10:27:00 GMT-0800 (Pacific Standard Time)","finished","Ending","HK"," Laguna Beach","LagunaBeach16.JPG","https://drive.google.com/file/d/1stMZM_7VklfEZjryEmvdu8TAJDM-PLGs/view?usp=sharing","1","Window-stuck","","false","","1","Script","B 
Bushard's","Decal","Identification","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","5","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","","false","","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","","false","false","","","","","None","https://build.fillout.com/editor/saqW6LdH3Jus/results?sessionId=bbd05c5f-c144-47a2-8ec8-1c714a55c0d9","151a5b00b841b0a149d266855d57fa4a"
