B02001,Race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Orange County, CA",,"Aliso Viejo, CA",,"Anaheim, CA",,"Brea, CA",,"Buena Park, CA",,"Costa Mesa, CA",,"Coto de Caza, CA",,"Cypress, CA",,"Dana Point, CA",,"Fountain Valley, CA",,"Fullerton, CA",,"Garden Grove, CA",,"Huntington Beach, CA",,"Irvine, CA",,"Ladera Ranch, CA",,"Laguna Beach, CA",,"Laguna Hills, CA",,"Laguna Niguel, CA",,"Laguna Woods, CA",,"La Habra, CA",,"Lake Forest, CA",,"La Palma, CA",,"Las Flores, CA",,"Los Alamitos, CA",,"Midway City, CA",,"Mission Viejo, CA",,"Modjeska, CA",,"Newport Beach, CA",,"North Tustin, CA",,"Orange, CA",,"Placentia, CA",,"Rancho Mission Viejo, CA",,"Rancho Santa Margarita, CA",,"Rossmoor, CA",,"San Clemente, CA",,"San Juan Capistrano, CA",,"Santa Ana, CA",,"Seal Beach, CA",,"Silverado, CA",,"Stanton, CA",,"Trabuco Canyon, CA",,"Tustin, CA",,"Villa Park, CA",,"Westminster, CA",,"Williams Canyon, CA",,"Yorba Linda, CA",
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
Total:,*,,100.00%,0.10%,100.00%,0.04%,100.00%,0.15%,100.00%,0.07%,100.00%,0.08%,100.00%,8.45%,100.00%,0.12%,100.00%,0.15%,100.00%,0.10%,100.00%,0.05%,100.00%,0.05%,100.00%,0.04%,100.00%,0.04%,100.00%,5.47%,100.00%,0.35%,100.00%,0.19%,100.00%,0.16%,100.00%,0.38%,100.00%,0.08%,100.00%,0.07%,100.00%,0.32%,100.00%,17.26%,100.00%,0.26%,100.00%,15.22%,100.00%,0.07%,100.00%,40.23%,100.00%,0.16%,100.00%,6.07%,100.00%,0.05%,100.00%,0.09%,100.00%,9.63%,100.00%,0.11%,100.00%,9.40%,100.00%,0.09%,100.00%,0.23%,100.00%,0.03%,100.00%,0.18%,100.00%,24.61%,100.00%,0.20%,100.00%,36.14%,100.00%,0.09%,100.00%,0.76%,100.00%,0.08%,100.00%,138.89%,100.00%,0.09%
White alone,46.41%,0.21%,60.95%,3.11%,41.20%,1.19%,46.59%,3.50%,33.26%,2.67%,52.70%,1.93%,74.20%,7.45%,36.80%,2.36%,78.58%,3.06%,43.06%,2.53%,43.01%,1.82%,28.43%,1.42%,64.26%,1.17%,38.71%,1.44%,68.23%,4.87%,84.01%,2.58%,58.05%,3.40%,67.83%,2.30%,69.13%,3.48%,39.19%,2.76%,52.19%,1.96%,31.39%,4.01%,68.07%,11.02%,52.08%,5.02%,22.34%,9.40%,64.24%,2.26%,93.39%,40.52%,79.23%,1.68%,63.30%,5.29%,53.59%,1.45%,48.87%,2.95%,75.31%,8.67%,65.12%,3.45%,67.06%,9.39%,75.42%,2.53%,62.67%,3.40%,19.51%,0.98%,71.72%,2.22%,85.06%,22.02%,28.78%,3.47%,71.99%,24.02%,38.27%,2.44%,70.03%,6.18%,24.41%,1.86%,100.00%,138.89%,57.33%,2.17%
Black or African American alone,1.64%,0.05%,2.15%,0.71%,2.50%,0.36%,1.78%,1.10%,2.17%,0.60%,1.60%,0.32%,1.60%,1.07%,3.38%,1.00%,1.91%,0.98%,1.17%,0.56%,2.09%,0.49%,1.28%,0.40%,1.27%,0.30%,2.04%,0.32%,1.04%,0.75%,0.43%,0.48%,1.10%,1.19%,1.69%,0.71%,0.70%,0.93%,2.14%,0.71%,1.74%,0.78%,2.80%,1.68%,0.00%,0.32%,4.15%,1.95%,0.93%,1.25%,1.01%,0.29%,0.00%,2.01%,0.68%,0.36%,0.75%,0.46%,1.59%,0.37%,2.40%,0.72%,0.33%,0.41%,1.47%,0.53%,3.15%,2.30%,1.53%,0.64%,0.54%,0.41%,0.80%,0.19%,1.12%,0.56%,0.00%,1.57%,1.44%,0.75%,1.02%,1.96%,2.76%,0.90%,0.61%,0.69%,0.91%,0.43%,0.00%,25.93%,0.93%,0.28%
American Indian and Alaska Native alone,0.76%,0.07%,0.11%,0.10%,1.00%,0.27%,0.71%,0.67%,1.42%,0.71%,1.18%,0.51%,0.19%,0.23%,0.46%,0.34%,0.08%,0.09%,0.50%,0.25%,0.65%,0.21%,0.82%,0.31%,0.54%,0.14%,0.23%,0.07%,0.24%,0.38%,0.16%,0.18%,0.48%,0.25%,0.24%,0.20%,0.84%,0.67%,1.55%,0.63%,0.97%,0.47%,0.22%,0.37%,0.00%,0.32%,0.24%,0.24%,2.32%,2.09%,0.59%,0.31%,0.00%,2.01%,0.31%,0.23%,0.16%,0.15%,1.26%,0.52%,0.45%,0.24%,0.00%,0.18%,0.29%,0.22%,0.15%,0.22%,0.28%,0.17%,0.62%,0.51%,1.50%,0.28%,0.62%,0.39%,0.00%,1.57%,1.55%,0.85%,2.03%,2.54%,0.73%,0.31%,0.00%,0.33%,0.46%,0.28%,0.00%,25.93%,0.20%,0.14%
Asian alone,21.94%,0.11%,16.88%,2.60%,18.62%,0.82%,26.49%,2.65%,32.10%,2.12%,8.80%,1.13%,9.22%,2.21%,37.32%,2.62%,3.31%,0.97%,36.55%,2.66%,24.52%,1.43%,41.64%,1.46%,12.58%,0.86%,44.11%,1.29%,14.69%,3.21%,3.75%,0.91%,15.69%,2.99%,11.56%,1.65%,23.79%,3.07%,12.18%,1.37%,20.70%,1.86%,51.86%,3.93%,10.92%,2.11%,16.52%,3.13%,44.44%,9.38%,14.40%,2.19%,0.00%,2.01%,8.05%,1.12%,14.91%,2.57%,13.06%,1.14%,18.22%,1.77%,10.97%,3.72%,12.18%,1.86%,13.71%,2.56%,4.57%,1.77%,3.91%,1.29%,11.97%,0.70%,14.22%,1.64%,2.70%,2.70%,27.16%,2.74%,8.35%,6.60%,25.12%,2.16%,18.42%,4.73%,51.23%,2.33%,0.00%,25.93%,25.55%,2.35%
Native Hawaiian and Other Pacific Islander alone,0.31%,0.02%,0.03%,0.04%,0.48%,0.13%,0.07%,0.08%,0.35%,0.34%,0.91%,0.44%,0.43%,0.47%,0.21%,0.16%,0.02%,0.04%,0.83%,0.68%,0.23%,0.13%,0.31%,0.18%,0.49%,0.17%,0.41%,0.14%,0.08%,0.14%,0.26%,0.29%,0.15%,0.25%,0.18%,0.17%,0.23%,0.36%,0.12%,0.11%,0.50%,0.40%,0.47%,0.49%,0.00%,0.32%,0.27%,0.42%,0.22%,0.38%,0.21%,0.19%,0.00%,2.01%,0.03%,0.04%,0.00%,0.10%,0.45%,0.20%,0.12%,0.11%,0.15%,0.23%,0.05%,0.07%,0.28%,0.50%,0.15%,0.11%,0.00%,0.08%,0.13%,0.07%,0.04%,0.07%,0.00%,1.57%,0.19%,0.16%,0.15%,0.44%,0.27%,0.29%,0.00%,0.33%,0.43%,0.39%,0.00%,25.93%,0.09%,0.08%
Some Other Race alone,14.06%,0.26%,6.32%,2.04%,15.92%,0.96%,10.12%,2.01%,14.61%,2.29%,17.88%,1.88%,2.55%,1.38%,7.55%,2.09%,6.03%,2.27%,5.37%,1.38%,14.61%,1.53%,14.35%,0.96%,6.76%,0.91%,3.27%,0.46%,2.80%,1.45%,2.32%,1.50%,10.35%,2.62%,6.68%,1.50%,1.90%,0.97%,21.91%,2.49%,8.72%,1.31%,3.32%,1.46%,3.11%,3.06%,13.00%,5.24%,21.16%,11.12%,5.38%,0.96%,3.02%,2.59%,2.33%,0.68%,7.94%,3.16%,11.94%,1.17%,9.93%,1.67%,1.22%,0.96%,6.25%,1.80%,3.76%,1.69%,3.42%,1.08%,13.92%,3.35%,48.68%,1.34%,3.23%,1.07%,2.02%,2.47%,27.75%,4.56%,4.21%,3.70%,19.08%,2.43%,2.84%,1.77%,13.34%,1.44%,0.00%,25.93%,4.26%,1.00%
Two or More Races:,14.87%,0.27%,13.56%,1.94%,20.27%,1.04%,14.24%,3.25%,16.08%,2.14%,16.94%,1.76%,11.81%,3.72%,14.28%,2.07%,10.07%,2.08%,12.53%,2.58%,14.90%,1.43%,13.18%,1.27%,14.10%,1.06%,11.22%,1.13%,12.93%,3.54%,9.07%,1.71%,14.18%,2.44%,11.82%,1.41%,3.41%,1.11%,22.92%,2.47%,15.19%,1.60%,9.95%,2.28%,17.90%,11.97%,13.74%,3.13%,8.59%,6.21%,14.17%,1.99%,3.59%,3.02%,9.37%,1.43%,12.94%,2.88%,18.12%,1.29%,20.01%,2.44%,12.02%,4.79%,14.65%,1.99%,11.89%,4.37%,14.63%,1.76%,18.34%,3.65%,17.41%,1.18%,9.04%,1.67%,10.22%,5.62%,13.12%,2.89%,12.26%,14.08%,13.78%,1.61%,8.10%,3.22%,9.22%,1.82%,0.00%,25.93%,11.65%,1.48%
Two races including Some Other Race,10.33%,0.22%,6.95%,1.57%,16.76%,1.08%,9.33%,2.98%,12.23%,2.04%,12.21%,1.72%,6.43%,2.41%,7.03%,1.58%,6.36%,1.97%,6.98%,2.01%,10.89%,1.33%,10.65%,1.19%,7.66%,0.96%,4.82%,1.04%,4.62%,1.80%,4.80%,1.64%,8.02%,2.00%,6.35%,1.30%,2.04%,0.73%,19.51%,2.51%,9.77%,1.65%,4.90%,1.85%,9.84%,11.44%,8.03%,2.35%,7.33%,6.28%,7.35%,1.53%,2.73%,2.59%,5.24%,1.07%,6.97%,2.20%,13.17%,1.22%,14.50%,2.39%,4.55%,1.79%,8.21%,1.81%,5.30%,3.78%,8.57%,1.57%,14.14%,3.69%,15.89%,1.16%,5.28%,1.42%,7.53%,5.39%,10.05%,2.92%,9.65%,13.86%,9.57%,1.52%,5.47%,3.03%,5.81%,1.72%,0.00%,25.93%,6.14%,1.08%
"Two races excluding Some Other Race, and three or more races",4.54%,0.13%,6.61%,1.03%,3.51%,0.32%,4.91%,1.37%,3.85%,0.80%,4.73%,0.66%,5.38%,1.82%,7.24%,1.35%,3.71%,1.12%,5.55%,1.21%,4.00%,0.59%,2.53%,0.36%,6.44%,0.61%,6.40%,0.64%,8.31%,2.89%,4.28%,1.13%,6.16%,1.73%,5.47%,0.95%,1.37%,0.74%,3.41%,0.72%,5.42%,0.96%,5.05%,1.61%,8.06%,4.93%,5.71%,1.99%,1.26%,0.84%,6.82%,1.31%,0.86%,1.29%,4.14%,0.93%,5.97%,1.94%,4.95%,0.72%,5.51%,1.56%,7.47%,4.19%,6.45%,1.35%,6.59%,2.10%,6.06%,1.19%,4.21%,1.59%,1.52%,0.25%,3.76%,1.02%,2.70%,2.02%,3.08%,0.84%,2.61%,2.39%,4.21%,0.79%,2.63%,1.45%,3.41%,0.68%,0.00%,25.93%,5.50%,0.85%
