B19001,Household Income in the Past 12 Months (In 2023 Inflation-adjusted Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Orange County, CA",,"Aliso Viejo, CA",,"Anaheim, CA",,"Brea, CA",,"Buena Park, CA",,"Costa Mesa, CA",,"Coto de Caza, CA",,"Cypress, CA",,"Dana Point, CA",,"Fountain Valley, CA",,"Fullerton, CA",,"Garden Grove, CA",,"Huntington Beach, CA",,"Irvine, CA",,"Ladera Ranch, CA",,"Laguna Beach, CA",,"Laguna Hills, CA",,"Laguna Niguel, CA",,"Laguna Woods, CA",,"La Habra, CA",,"Lake Forest, CA",,"La Palma, CA",,"Las Flores, CA",,"Los Alamitos, CA",,"Midway City, CA",,"Mission Viejo, CA",,"Modjeska, CA",,"Newport Beach, CA",,"North Tustin, CA",,"Orange, CA",,"Placentia, CA",,"Rancho Mission Viejo, CA",,"Rancho Santa Margarita, CA",,"Rossmoor, CA",,"San Clemente, CA",,"San Juan Capistrano, CA",,"Santa Ana, CA",,"Seal Beach, CA",,"Silverado, CA",,"Stanton, CA",,"Trabuco Canyon, CA",,"Tustin, CA",,"Villa Park, CA",,"Westminster, CA",,"Williams Canyon, CA",,"Yorba Linda, CA",
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
Total:,100.00%,0.24%,100.00%,2.67%,100.00%,1.28%,100.00%,3.39%,100.00%,3.02%,100.00%,2.22%,100.00%,7.13%,100.00%,2.73%,100.00%,3.48%,100.00%,3.59%,100.00%,1.86%,100.00%,1.92%,100.00%,1.51%,100.00%,1.41%,100.00%,5.24%,100.00%,3.61%,100.00%,3.73%,100.00%,2.72%,100.00%,2.94%,100.00%,2.90%,100.00%,2.50%,100.00%,5.09%,100.00%,17.11%,100.00%,5.26%,100.00%,11.73%,100.00%,2.40%,100.00%,24.89%,100.00%,2.25%,100.00%,6.22%,100.00%,2.07%,100.00%,2.76%,100.00%,7.64%,100.00%,3.11%,100.00%,7.33%,100.00%,3.05%,100.00%,3.94%,100.00%,1.44%,100.00%,3.54%,100.00%,16.54%,100.00%,5.06%,100.00%,33.63%,100.00%,2.65%,100.00%,7.70%,100.00%,2.39%,100.00%,109.09%,100.00%,2.26%
"Less than $10,000",4.10%,0.18%,4.08%,1.27%,4.83%,0.62%,3.30%,1.12%,3.21%,1.09%,2.80%,0.79%,2.93%,1.34%,4.02%,1.42%,3.29%,0.94%,4.21%,1.97%,4.40%,1.03%,4.78%,0.67%,2.67%,0.39%,6.91%,0.80%,3.22%,2.17%,3.63%,1.27%,3.68%,1.27%,3.46%,1.00%,5.09%,1.59%,3.67%,0.88%,3.04%,0.69%,3.42%,3.03%,2.97%,4.39%,4.32%,1.86%,12.59%,5.88%,3.21%,0.82%,0.00%,6.33%,4.47%,0.80%,2.03%,1.13%,3.30%,0.72%,4.39%,1.38%,4.48%,2.48%,1.99%,0.91%,1.46%,1.06%,3.55%,1.18%,3.27%,1.51%,3.33%,0.63%,2.71%,0.80%,16.79%,11.28%,5.85%,2.13%,2.88%,4.42%,2.97%,0.97%,2.90%,2.27%,6.29%,1.52%,0.00%,127.27%,3.06%,0.88%
"$10,000 to $14,999",2.19%,0.15%,1.02%,0.64%,3.48%,0.54%,1.28%,0.52%,1.69%,0.70%,1.71%,0.58%,0.10%,0.16%,1.18%,0.55%,1.49%,0.70%,2.49%,0.95%,2.58%,0.67%,2.68%,0.50%,2.43%,0.52%,1.84%,0.40%,0.00%,0.34%,1.29%,0.71%,2.36%,1.42%,1.33%,0.53%,4.64%,1.70%,2.59%,0.88%,2.02%,0.71%,1.66%,0.92%,1.32%,1.51%,1.83%,1.13%,3.53%,2.47%,1.40%,0.56%,2.71%,4.07%,1.73%,0.60%,0.48%,0.38%,1.89%,0.56%,1.61%,0.71%,0.00%,0.48%,0.99%,0.52%,0.23%,0.35%,1.23%,0.58%,1.02%,1.03%,2.62%,0.47%,2.13%,0.90%,0.00%,3.51%,3.21%,1.38%,0.00%,3.10%,2.80%,1.73%,2.69%,4.01%,4.33%,1.16%,0.00%,127.27%,1.73%,0.71%
"$15,000 to $19,999",1.74%,0.10%,0.76%,0.57%,1.96%,0.37%,1.26%,0.64%,1.58%,0.58%,1.67%,0.44%,0.16%,0.26%,1.08%,0.48%,3.41%,1.68%,1.24%,0.48%,2.17%,0.69%,2.28%,0.54%,1.33%,0.35%,1.90%,0.32%,1.23%,1.60%,1.18%,0.65%,1.81%,1.15%,0.72%,0.36%,5.08%,1.53%,2.28%,0.97%,0.61%,0.27%,2.60%,1.39%,0.49%,0.78%,0.68%,0.66%,7.92%,6.78%,0.91%,0.51%,0.00%,6.33%,0.59%,0.29%,1.88%,2.10%,1.83%,0.62%,1.68%,0.88%,0.25%,0.41%,1.22%,0.70%,2.47%,2.32%,1.50%,0.98%,1.02%,0.67%,2.25%,0.44%,2.87%,1.14%,3.76%,4.51%,2.70%,1.01%,4.87%,5.31%,1.30%,0.48%,1.48%,2.37%,3.65%,0.89%,0.00%,127.27%,0.86%,0.44%
"$20,000 to $24,999",2.23%,0.13%,1.34%,0.64%,2.94%,0.49%,2.75%,1.42%,0.88%,0.45%,2.44%,0.55%,1.12%,0.82%,2.43%,1.17%,1.79%,0.87%,2.86%,0.86%,1.91%,0.56%,3.28%,0.65%,2.03%,0.45%,1.80%,0.33%,1.00%,1.16%,1.87%,0.90%,1.89%,1.26%,1.46%,0.64%,4.51%,1.35%,1.38%,0.57%,1.41%,0.67%,0.23%,0.31%,0.00%,0.93%,2.21%,1.34%,6.31%,4.12%,1.70%,0.70%,0.00%,6.33%,2.00%,0.86%,0.62%,0.43%,2.20%,0.52%,1.28%,0.51%,0.92%,0.92%,1.73%,1.04%,0.91%,0.86%,1.76%,0.76%,2.51%,1.69%,2.58%,0.46%,4.05%,1.30%,3.01%,4.01%,4.14%,1.55%,0.00%,3.10%,2.59%,0.80%,0.00%,1.00%,3.99%,0.88%,0.00%,127.27%,2.17%,1.12%
"$25,000 to $29,999",2.09%,0.10%,1.85%,0.65%,2.69%,0.40%,0.84%,0.44%,1.91%,0.70%,1.73%,0.50%,0.48%,0.72%,2.46%,0.96%,1.76%,0.79%,2.51%,0.82%,2.28%,0.50%,3.11%,0.54%,2.00%,0.44%,1.73%,0.36%,0.93%,0.86%,1.63%,0.78%,1.38%,0.61%,1.81%,0.83%,4.26%,1.36%,1.74%,0.66%,1.21%,0.46%,1.19%,0.88%,2.14%,3.27%,0.63%,0.63%,1.96%,1.73%,1.19%,0.38%,0.00%,6.33%,2.01%,0.70%,1.34%,0.81%,1.44%,0.32%,2.59%,1.29%,1.01%,1.22%,1.13%,0.61%,1.79%,1.18%,1.96%,0.63%,0.98%,0.73%,2.50%,0.42%,8.09%,2.73%,1.00%,1.75%,2.88%,1.00%,1.33%,1.77%,1.42%,0.49%,1.53%,1.32%,3.53%,0.92%,0.00%,127.27%,0.90%,0.46%
"$30,000 to $34,999",2.18%,0.14%,1.27%,0.56%,2.61%,0.38%,1.81%,0.89%,2.35%,0.81%,2.17%,0.70%,1.82%,1.30%,2.33%,1.18%,1.68%,0.87%,1.80%,0.71%,2.76%,0.71%,2.82%,0.56%,2.09%,0.61%,1.93%,0.42%,1.01%,0.75%,2.16%,0.90%,1.49%,0.79%,1.68%,0.67%,5.14%,2.13%,1.88%,0.63%,1.41%,0.55%,4.27%,2.04%,0.00%,0.93%,1.39%,0.96%,2.86%,2.39%,1.00%,0.34%,0.00%,6.33%,1.70%,0.70%,1.01%,0.71%,1.74%,0.49%,1.77%,0.81%,1.15%,1.01%,2.41%,1.55%,0.53%,0.60%,2.25%,0.90%,2.98%,1.59%,2.72%,0.36%,2.65%,1.12%,0.00%,3.51%,2.79%,0.87%,0.00%,3.10%,2.55%,1.31%,1.69%,1.85%,3.16%,0.67%,0.00%,127.27%,1.56%,0.54%
"$35,000 to $39,999",2.37%,0.12%,2.10%,1.08%,3.57%,0.53%,2.51%,1.12%,2.07%,0.68%,2.39%,0.70%,0.00%,0.42%,1.31%,0.52%,0.72%,0.54%,1.79%,0.72%,2.30%,0.56%,3.34%,0.76%,1.97%,0.37%,1.93%,0.43%,1.59%,1.67%,0.77%,0.44%,1.59%,0.72%,1.62%,0.61%,5.16%,1.64%,2.33%,0.74%,2.12%,0.75%,0.86%,0.59%,0.00%,0.93%,2.87%,1.57%,0.94%,0.86%,2.97%,0.80%,2.26%,3.62%,1.31%,0.47%,0.58%,0.41%,2.26%,0.61%,2.50%,0.83%,0.55%,0.69%,1.23%,0.73%,0.15%,0.23%,2.33%,0.78%,2.86%,1.48%,3.14%,0.51%,4.20%,1.38%,0.00%,3.51%,3.71%,1.59%,0.00%,3.10%,2.27%,0.80%,0.00%,1.00%,3.00%,0.82%,0.00%,127.27%,1.71%,0.63%
"$40,000 to $44,999",2.33%,0.11%,1.00%,0.46%,2.94%,0.46%,1.84%,0.78%,1.91%,0.68%,2.77%,0.67%,0.22%,0.30%,1.70%,0.74%,2.32%,1.25%,2.06%,0.89%,2.49%,0.63%,2.39%,0.40%,1.97%,0.46%,1.61%,0.33%,0.70%,0.67%,2.21%,1.08%,1.47%,0.85%,1.13%,0.60%,4.36%,1.59%,4.02%,1.02%,2.64%,1.20%,5.79%,3.74%,0.58%,1.07%,6.69%,3.92%,2.67%,2.98%,1.91%,0.53%,0.90%,2.26%,1.38%,0.37%,1.11%,0.50%,1.92%,0.50%,2.49%,0.92%,2.53%,2.02%,0.84%,0.42%,0.63%,0.60%,1.36%,0.74%,1.84%,1.11%,3.76%,0.51%,3.55%,1.28%,9.27%,8.52%,3.64%,1.39%,1.33%,1.99%,2.34%,0.86%,4.91%,6.97%,3.36%,0.85%,0.00%,127.27%,2.18%,0.80%
