B19001,Household Income in the Past 12 Months (In 2023 Inflation-adjusted Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Orange County, CA",,"Aliso Viejo, CA",,"Anaheim, CA",,"Brea, CA",,"Buena Park, CA",,"Costa Mesa, CA",,"Coto de Caza, CA",,"Cypress, CA",,"Dana Point, CA",,"Fountain Valley, CA",,"Fullerton, CA",,"Garden Grove, CA",,"Huntington Beach, CA",,"Irvine, CA",,"Ladera Ranch, CA",,"Laguna Beach, CA",,"Laguna Hills, CA",,"Laguna Niguel, CA",,"Laguna Woods, CA",,"La Habra, CA",,"Lake Forest, CA",,"La Palma, CA",,"Las Flores, CA",,"Los Alamitos, CA",,"Midway City, CA",,"Mission Viejo, CA",,"Modjeska, CA",,"Newport Beach, CA",,"North Tustin, CA",,"Orange, CA",,"Placentia, CA",,"Rancho Mission Viejo, CA",,"Rancho Santa Margarita, CA",,"Rossmoor, CA",,"San Clemente, CA",,"San Juan Capistrano, CA",,"Santa Ana, CA",,"Seal Beach, CA",,"Silverado, CA",,"Stanton, CA",,"Trabuco Canyon, CA",,"Tustin, CA",,"Villa Park, CA",,"Westminster, CA",,"Williams Canyon, CA",,"Yorba Linda, CA",
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
Total:,1074654,2589,19421,518,105819,1350,16566,561,24199,732,41628,924,5010,357,15988,436,13952,485,18840,676,47484,885,48650,934,77549,1172,111979,1579,7420,389,10830,391,11490,429,25486,694,11797,347,20488,594,30246,755,5110,260,2052,351,4257,224,2550,299,32917,789,221,55,38103,857,8926,555,44867,929,16979,469,4356,333,17042,530,3970,291,24093,736,12095,477,79691,1151,12948,458,399,66,12419,628,452,152,26698,707,1895,146,27865,666,11,12,22876,516
"Less than $10,000",44057,1944,792,246,5114,655,547,185,776,263,1164,328,147,67,643,227,459,131,794,372,2087,491,2325,327,2073,299,7740,896,239,161,393,138,423,146,881,256,600,187,752,181,919,210,175,155,61,90,184,79,321,150,1055,270,0,14,1702,306,181,101,1481,322,745,235,195,108,339,155,58,42,856,285,395,183,2652,504,351,103,67,45,726,264,13,20,794,258,55,43,1754,423,0,14,700,201
"$10,000 to $14,999",23570,1624,199,125,3683,573,212,86,408,170,711,240,5,8,188,88,208,97,469,179,1223,317,1302,243,1888,406,2063,453,0,25,140,77,271,163,339,135,547,200,531,180,612,215,85,47,27,31,78,48,90,63,462,185,6,9,658,227,43,34,846,253,273,121,0,21,168,88,9,14,297,139,123,124,2091,371,276,116,0,14,399,172,0,14,747,462,51,76,1206,322,0,14,396,163
"$15,000 to $19,999",18703,1106,148,110,2079,391,209,106,383,140,695,182,8,13,173,77,476,234,234,90,1032,328,1109,261,1029,271,2131,363,91,119,128,70,208,132,183,93,599,180,468,199,185,82,133,71,10,16,29,28,202,173,301,169,0,14,224,111,168,187,821,276,285,150,11,18,208,120,98,92,362,236,123,81,1791,347,371,148,15,18,335,126,22,24,346,127,28,45,1016,248,0,14,196,101
"$20,000 to $24,999",24010,1393,260,125,3110,514,456,236,213,108,1017,230,56,41,388,187,250,122,539,162,905,264,1597,314,1576,350,2015,374,74,86,202,97,217,145,373,163,532,159,283,117,427,203,12,16,0,19,94,57,161,105,561,232,0,14,762,328,55,38,985,234,217,86,40,40,294,177,36,34,424,182,304,205,2055,366,524,168,12,16,514,193,0,14,691,214,0,19,1113,245,0,14,497,256
"$25,000 to $29,999",22430,1032,360,126,2851,426,139,73,463,169,722,208,24,36,394,153,245,110,473,154,1083,239,1512,261,1550,338,1933,406,69,64,176,85,159,70,461,211,502,161,356,136,367,138,61,45,44,67,27,27,50,44,391,124,0,14,764,268,120,72,646,143,439,219,44,53,193,104,71,47,472,152,118,88,1993,332,1048,354,4,7,358,124,6,8,380,130,29,25,984,257,0,14,207,106
"$30,000 to $34,999",23441,1452,246,108,2763,406,300,147,569,197,903,290,91,65,372,188,234,122,340,134,1311,336,1370,272,1624,472,2158,472,75,56,234,97,171,91,428,171,606,251,385,129,425,166,218,104,0,19,59,41,73,61,329,112,0,14,648,268,90,63,782,220,301,138,50,44,410,265,21,24,542,218,360,192,2164,289,343,145,0,14,346,108,0,14,681,351,32,35,880,187,0,14,358,124
"$35,000 to $39,999",25449,1308,408,209,3780,566,416,186,500,165,993,293,0,21,209,83,101,75,337,135,1094,267,1623,371,1526,290,2165,482,118,124,83,48,183,83,413,155,609,194,477,152,640,228,44,30,0,19,122,67,24,22,977,262,5,8,500,178,52,37,1013,273,425,141,24,30,209,124,6,9,562,189,346,179,2504,408,544,179,0,14,461,198,0,14,607,214,0,19,836,228,0,14,391,145
"$40,000 to $44,999",25068,1214,195,89,3116,487,305,129,462,165,1152,277,11,15,271,118,324,175,389,167,1184,301,1161,194,1529,360,1807,368,52,50,239,117,169,98,288,154,514,188,824,208,800,363,296,191,12,22,285,167,68,76,628,173,2,5,525,140,99,45,862,223,422,156,110,88,143,72,25,24,328,179,223,134,2995,410,460,166,37,34,452,173,6,9,624,229,93,132,935,238,0,14,499,183
"$45,000 to $49,999",23773,1442,215,119,2734,534,333,130,696,218,1149,266,40,30,333,150,228,124,254,113,1481,292,1208,233,1421,422,1554,362,36,36,216,93,207,107,637,201,662,266,642,187,465,176,84,75,0,19,240,147,88,97,828,282,0,14,465,141,117,69,809,256,318,130,113,118,349,153,49,36,512,184,66,54,2487,382,398,147,0,14,421,133,0,14,438,139,7,14,892,237,0,14,376,179
"$50,000 to $59,999",49384,1951,568,169,5990,646,731,221,1453,369,2112,379,65,50,699,171,323,110,1021,383,2058,344,2789,387,2933,365,3853,601,274,134,311,123,446,152,965,229,699,204,1115,230,1173,263,334,121,14,22,217,85,114,91,1076,212,0,14,1525,312,318,191,2408,422,921,260,174,102,639,177,85,52,1072,238,393,203,4954,495,796,241,29,19,854,200,15,24,1527,413,30,26,1375,274,0,14,648,160
"$60,000 to $74,999",75724,2055,1025,288,8629,638,1224,256,1789,354,2829,409,249,107,976,203,907,206,1208,264,3936,496,4667,624,5460,451,6296,789,399,203,823,298,594,195,1830,270,1363,279,1944,278,1928,334,355,133,93,91,291,98,241,108,1729,370,50,35,1622,308,320,139,2775,321,1156,287,266,175,865,322,182,74,1294,318,586,179,7221,600,937,204,18,21,1007,254,33,38,2411,373,109,53,2171,351,0,14,1315,246
"$75,000 to $99,999",117841,2400,1903,353,14021,890,1956,358,3105,542,5114,536,332,154,1373,227,1363,292,2251,360,5449,498,6206,572,8985,823,9067,1046,448,177,1207,357,1533,316,2170,344,1218,221,2677,475,3330,423,582,139,50,44,544,144,408,144,2910,369,31,21,2822,506,657,170,5546,672,2265,293,156,74,1547,306,340,102,2239,382,1343,308,11577,777,1142,271,34,25,1568,281,22,18,2972,442,119,73,3032,388,6,11,1587,263
"$100,000 to $124,999",114581,2832,2287,399,11438,862,1461,315,3414,438,4880,509,298,122,2063,277,1628,361,1916,245,4936,493,5642,492,8951,806,11226,974,662,228,862,222,1220,254,2362,366,1332,353,2553,444,3073,420,553,136,433,241,394,133,145,83,3778,439,13,13,3130,489,696,204,4982,558,1820,299,413,200,1760,316,225,74,2452,375,1465,335,9583,768,997,216,36,34,1610,399,11,12,2711,376,185,94,2344,323,0,14,1946,333
"$125,000 to $149,999",90850,2835,1879,325,8462,749,1579,296,2339,339,3636,480,169,60,1268,289,1264,268,1812,383,4332,505,4200,505,7147,674,8325,964,564,222,702,177,1028,279,2399,381,574,168,2030,310,2929,451,290,107,99,68,438,142,100,79,3050,416,23,18,3064,587,668,161,3999,476,1358,213,309,158,1557,239,258,105,1659,376,1115,291,7268,688,694,210,24,23,855,205,22,18,2243,364,93,65,2390,352,0,14,2172,392
"$150,000 to $199,999",136813,3393,3699,450,11560,1051,2613,427,3611,410,5456,536,445,107,2552,296,1690,290,2618,380,5741,652,5478,443,10653,801,16309,1343,1005,240,1142,219,1541,243,3148,462,807,205,2673,295,4323,526,673,187,198,95,405,129,198,129,4717,463,10,11,3753,487,1209,320,6156,542,2407,369,422,140,2366,389,519,118,2863,389,1627,396,8818,767,1408,262,58,35,1349,324,63,29,3064,527,94,55,2911,365,0,14,3323,399
"$200,000 or more",258960,3745,5237,439,16489,993,4085,522,4018,464,9095,688,3070,284,4086,440,4252,423,4185,401,9632,671,6461,431,19204,987,33337,1601,3314,346,3972,373,3120,371,8609,726,633,171,2778,349,8650,654,1215,235,1011,221,850,160,267,146,10125,651,81,52,15939,921,4133,398,10756,788,3627,358,2029,262,5995,524,1988,300,8159,589,3508,469,9538,653,2659,319,65,43,1164,245,239,154,6462,591,970,156,4026,395,5,9,8265,609
